T(K) pCO2(bar) A_K(W/m^2) A_C(W/m^2) B(W/m^2/K) albedo OLR(W/m^2)
360.80808080808083 0.0006197780742228446 293.3437314958328 297.43595435884885 0.014981595691070927 0.1815295746772413 298.7492122845707
360.80808080808083 0.0006493545360902913 293.5011035777495 297.3231790591298 0.013992588253268583 0.18153015036593956 298.54974249094903
360.80808080808083 0.000680342417840078 293.6142436049182 297.20250311782485 0.013136589833083046 0.18153075352633297 298.35403137095585
360.80808080808083 0.0007128090739141657 293.68118705262106 297.07355101913265 0.01241941777965065 0.18153138546932313 298.1622133464506
360.80808080808083 0.0007468250729793602 293.7000100693821 296.93595281003996 0.011846760903012475 0.18153204756836333 297.9744171345902
360.80808080808083 0.000782464351313504 293.66882947696706 296.7893441003219 0.011424179474116213 0.18153274126244046 297.79076574783
360.80808080808083 0.0008198043735114153 293.58580277038317 296.63336606254165 0.011157105224815998 0.18153346805920312 297.6113764939228
360.80808080808083 0.0008589263008598952 293.449128117873 296.46766543204825 0.01105084134788684 0.18153422953823545 297.4363609759186
360.80808080808083 0.0008999151677477467 293.25704436092934 296.2918945069828 0.011110562496992453 0.1815350273544915 297.2658250921674
360.80808080808083 0.0009428600664942917 293.0078310142772 296.105711148271 0.011341314786724465 0.18153586324188914 297.09986903631557
360.80808080808083 0.0009878543409980705 292.69980826588824 295.90877877962834 0.011748015792568527 0.181536739017078 296.9385872973079
360.80808080808083 0.0010349957896266912 292.33133697697207 295.70076638755796 0.012335454550927674 0.18153765658338505 296.78206865938756
360.80808080808083 0.0010843868777887652 291.9008186819803 295.4813485213505 0.013108291559107688 0.18153861793495163 296.6303962020947
360.80808080808083 0.0011361349606500313 291.4066955886058 295.2502052930858 0.014071058775324746 0.18153962516106378 296.48364730026844
360.80808080808083 0.0011903525164776935 290.84745057778304 295.00702237763124 0.015228159618701206 0.1815406804506911 296.3418936240457
360.80808080808083 0.0012471573911202317 290.22160720368583 294.7514910126419 0.01658386896926995 0.18154178609724375 296.2052011388608
360.80808080808083 0.0013066730541540102 289.5277296937279 294.48330799856086 0.01814233316797706 0.18154294450355224 296.0736301054465
360.80808080808083 0.001369028867253509 288.7644229485668 294.20217569861984 0.019907570016668614 0.18154415818708808 295.9472350798335
360.80808080808083 0.001434360365368427 287.93033254210064 293.9078020388387 0.021883468778100143 0.1815454297854319 295.82606491335054
360.80808080808083 0.0015028095513188848 287.02414472146654 293.599900508025 0.024073790175941377 0.18154676206200207 295.7101627526244
360.80808080808083 0.001574525204449002 286.04458640704314 293.2781901577731 0.026482166394764778 0.18154815791205836 295.59956603957846
360.80808080808083 0.0016496632040097535 284.9904251924523 292.94239560246825 0.029112101080051044 0.18154962036898767 295.4943065114364
360.80808080808083 0.0017283868679739958 283.8604693445538 292.59224701928173 0.03196696933819482 0.18155115261089474 295.39441020071865
360.80808080808083 0.001810867308020102 282.6535678034502 292.22748014817296 0.03505001773649179 0.1815527579675033 295.299897435243
360.80808080808083 0.0018972838014557907 281.368610182484 291.8478362918903 0.03836436430315311 0.18155443992738696 295.21078283812676
360.80808080808083 0.0019878241808905513 280.0045267682391 291.45306231596913 0.04191299852729279 0.1815562021455441 295.12707532778353
360.80808080808083 0.0020826852425036447 278.56028852054027 291.0429106487339 0.04569878135893683 0.1815580484513376 295.04877811792636
360.80808080808083 0.002182073173795088 277.03490707245476 290.6171392812966 0.049724445209012744 0.18155998285680813 294.9758887175652
360.80808080808083 0.0022862040017493594 275.42743473028884 290.17551176755774 0.05399259394936455 0.18156200956538526 294.90839893100906
360.80808080808083 0.0023953040623859536 273.7369644735891 289.71779722420445 0.058505702912741604 0.1815641329810136 294.84629485786314
360.80808080808083 0.002509610492717381 271.9626299551439 289.2437703307137 0.06326611889280531 0.18156635771771668 294.78955689303285
360.80808080808083 0.002629371746183908 270.1036055009849 288.75321132934954 0.06827606014411372 0.18156868860961128 294.73815972671963
360.80808080808083 0.002754848132685425 268.1591061103809 288.2459060251644 0.07353761638214704 0.18157113072140288 294.6920723444243
360.80808080808083 0.002886312384384138 266.1283874558434 287.72164578599785 0.07905274878328564 0.18157368935937943 294.651258026944
360.80808080808083 0.003024050248508038 264.0107458831262 287.18022754247994 0.08482328998482051 0.18157637008292876 294.6156743503766
360.80808080808083 0.0031683611084434918 261.8055184112219 286.62145378802603 0.09085094408495023 0.18157917871660492 294.58527318611505
360.80808080808083 0.003319558634467119 259.51208273236557 286.0451325788413 0.09713728664278133 0.1815821213627713 294.5600007008519
360.80808080808083 0.0034779714655311725 257.1298572120306 285.45107753391756 0.1036837646783342 0.18158520441483925 294.539797356577
360.80808080808083 0.003643943923584548 254.65830088893466 284.8391078350359 0.11049169667252878 0.18158843457114648 294.5245979105784
360.80808080808083 0.003817836761981827 252.0969134750347 284.20904822676516 0.11756227256719928 0.181591818849487 294.51433141544237
360.80808080808083 0.004000027949607309 249.44523535553014 283.56072901646246 0.12489655376508274 0.18159536460234016 294.5089212190529
360.80808080808083 0.0041909134924181385 246.7028475888593 282.89398607427256 0.13249547312983076 0.18159907953281978 294.5082849645922
360.80808080808083 0.004390908294192472 243.86937190670108 282.20866083312785 0.14035983498600324 0.18160297171138326 294.5123345905398
360.80808080808083 0.00460044705835331 240.9444707139766 281.5046002887494 0.14849031511906557 0.1816070495933397 294.5209763306738
360.80808080808083 0.0048199852328284385 237.92784708884915 280.7816569996465 0.1568874607753884 0.18161132203718486 294.5341107140701
360.80808080808083 0.00505 234.81924478272148 280.0396890871166 0.1655516906622555 0.181615798323812 294.551632565103
362.72727272727275 4.999999999999999e-05 309.9550533465823 309.3656589853866 -0.0021577681171361524 0.18090599683035583 309.17237200227567
362.72727272727275 5.2386052612827035e-05 308.4063718423322 308.95547706623705 0.002010269902635267 0.18090604352061024 309.1355515615608
362.72727272727275 5.4885970167077656e-05 306.98339752289485 308.56677947292394 0.005796748856046377 0.180906092438968 309.0860364261335
362.72727272727275 5.750518641757172e-05 305.68185599986685 308.19886249394244 0.009214740963117612 0.18090614369175584 309.0242938583068
362.72727272727275 6.024939442362679e-05 304.4975145624506 307.85102822660394 0.012277187128513202 0.18090619739037417 308.95078516633856
